zip,premium,claim_freq_avg,claim_freq_peak,loss_ratio_peak,claim_severity_avg,nonrenewal
01337,1317.0,0.0295,0.0369,0.514,11211.0,0.0064
01338,1524.0,0.0274,0.0516,0.172,7976.0,0.0056
01339,1519.0,0.0257,0.0302,0.269,7158.0,0.0133
01340,1470.0,0.0257,0.0328,0.65,22353.0,0.0062
01341,1712.0,0.0287,0.0423,0.7,15621.0,0.0136
01342,1510.0,0.0353,0.0456,0.828,17283.0,0.0041
01344,1254.0,0.036,0.0457,0.421,10471.0,0.0
01346,1512.0,0.0303,0.0533,1.435,17535.0,0.0113
01349,1327.0,0.0269,0.0366,2.446,22585.0,0.0
01351,1374.0,0.0342,0.0515,0.624,12185.0,0.0034
01354,1328.0,0.0319,0.0374,0.315,7754.0,0.0093
01355,1437.0,0.0304,0.0442,0.712,11393.0,0.004
01360,1393.0,0.0267,0.0447,0.853,21624.0,0.007
01364,1279.0,0.032,0.0394,0.84,18246.0,0.0092
01366,1987.0,0.0409,0.0693,0.215,10898.0,0.0064
01367,1397.0,0.0211,0.0382,0.294,4166.0,0.0087
01368,1608.0,0.0244,0.0411,0.284,13484.0,0.0063
01370,1529.0,0.0285,0.0374,0.493,16938.0,0.0033
01373,1433.0,0.0309,0.0431,0.246,9317.0,0.0033
01375,1441.0,0.0359,0.0438,0.485,13140.0,0.0049
01376,1197.0,0.0237,0.0272,0.485,15936.0,0.0033
01378,1418.0,0.0387,0.049,0.332,7003.0,0.0049
01379,1431.0,0.03,0.046,0.191,6532.0,0.0108
01420,1536.0,0.0355,0.0455,0.474,17012.0,0.0155
01430,1524.0,0.0268,0.0366,0.419,17905.0,0.0041
01431,1575.0,0.0283,0.0363,0.451,14890.0,0.0109
01432,1522.0,0.0266,0.0313,0.709,18751.0,0.0094
01434,1386.0,0.0272,0.0704,0.207,4189.0,0.0
01436,1454.0,0.0329,0.0444,0.752,12583.0,0.0087
01438,1375.0,0.0309,0.0909,0.415,4423.0,0.0149
01440,1453.0,0.0334,0.0458,0.406,16130.0,0.0086
01450,1893.0,0.0361,0.0462,0.865,26003.0,0.0098
01451,2443.0,0.035,0.0413,0.288,16547.0,0.0109
01452,1565.0,0.027,0.0415,1.092,32711.0,0.0091
01453,1516.0,0.0346,0.0432,0.514,18755.0,0.0105
01460,1659.0,0.028,0.0406,0.302,13425.0,0.0057
01462,1619.0,0.0294,0.0378,0.308,14239.0,0.0086
01463,1585.0,0.0254,0.0323,0.266,15362.0,0.0114
01464,1607.0,0.0288,0.035,0.347,12108.0,0.0064
01468,1449.0,0.0299,0.0468,0.371,14395.0,0.0044
01469,1482.0,0.0289,0.0432,0.339,13364.0,0.0076
01473,1575.0,0.0309,0.0373,0.456,19615.0,0.0067
01474,1574.0,0.0288,0.0346,0.261,12244.0,0.0042
01475,1455.0,0.029,0.037,0.556,17918.0,0.0097
01501,1538.0,0.0382,0.0454,0.472,15659.0,0.0086
01503,1923.0,0.0354,0.0408,0.347,11334.0,0.017
01504,1591.0,0.0391,0.0492,0.478,17612.0,0.0121
01505,1856.0,0.0356,0.0459,0.535,13839.0,0.009
01506,1514.0,0.0332,0.0434,0.323,11336.0,0.0053
01507,1681.0,0.0327,0.0378,0.377,16491.0,0.0078
01510,1609.0,0.0338,0.0439,0.28,11004.0,0.0177
01515,1488.0,0.0249,0.0349,0.769,23142.0,0.0068
01516,1689.0,0.0353,0.0471,0.345,13900.0,0.009
01518,1698.0,0.0369,0.0438,0.886,23117.0,0.0098
01519,1850.0,0.0409,0.0548,0.597,23348.0,0.0039
01520,1597.0,0.0334,0.0367,0.341,14389.0,0.0077
01521,1401.0,0.0387,0.0593,1.02,23902.0,0.0068
01522,1596.0,0.034,0.0369,1.575,25661.0,0.0135
01523,1709.0,0.0351,0.0433,0.36,13340.0,0.0127
01524,1568.0,0.0368,0.0444,0.672,18598.0,0.013
01525,1765.0,0.028,0.0377,0.21,9193.0,0.0
01527,1589.0,0.0388,0.0429,0.538,17819.0,0.0096
01529,1723.0,0.0509,0.0676,1.425,23372.0,0.014
01531,1690.0,0.0333,0.0596,1.29,23990.0,0.0045
01532,1791.0,0.0384,0.0492,0.433,17282.0,0.0075
01534,1643.0,0.0346,0.0439,0.331,12287.0,0.0109
01535,1596.0,0.0305,0.0405,0.429,14172.0,0.0088
01536,1750.0,0.0394,0.0509,0.395,15161.0,0.0083
01537,1541.0,0.035,0.0508,0.515,16550.0,0.0144
01540,1509.0,0.0355,0.0426,0.518,16513.0,0.0104
01541,1946.0,0.0275,0.0408,0.588,18739.0,0.0062
01542,1664.0,0.0482,0.0652,1.045,18095.0,0.0132
01543,1565.0,0.0321,0.0423,0.501,17574.0,0.017
01545,1787.0,0.0411,0.0502,0.398,17440.0,0.0094
01550,1628.0,0.0397,0.0453,0.548,16492.0,0.0122
01560,1739.0,0.0295,0.0373,1.031,31446.0,0.0069
01562,1551.0,0.0332,0.0408,0.426,14609.0,0.0109
01564,1759.0,0.0378,0.0485,0.447,15067.0,0.0094
01566,1644.0,0.0385,0.0407,0.597,16138.0,0.0109
01568,1886.0,0.0404,0.0598,0.634,21672.0,0.0064
01569,1645.0,0.0351,0.0408,0.358,13645.0,0.0073
01570,1601.0,0.0396,0.0452,0.781,20917.0,0.0125
01571,1558.0,0.0389,0.0526,0.442,12774.0,0.008
01581,2006.0,0.043,0.0566,0.396,13861.0,0.0131
01583,1650.0,0.0333,0.0398,0.422,15858.0,0.0113
01585,1480.0,0.0367,0.0595,0.545,16786.0,0.0108
01588,1660.0,0.0379,0.053,0.465,13708.0,0.0098
01590,1783.0,0.0372,0.0445,0.42,15382.0,0.0093
01602,1711.0,0.0416,0.0486,0.441,15020.0,0.0087
01603,1660.0,0.0394,0.0526,0.544,21243.0,0.0067
01604,1731.0,0.0418,0.051,0.438,15101.0,0.0142
01605,1728.0,0.039,0.0483,0.483,17815.0,0.014
01606,1596.0,0.0351,0.0406,0.444,16322.0,0.0075
01607,1630.0,0.0415,0.0517,0.362,11542.0,0.0104
01608,1688.0,0.0397,0.0558,2.273,45831.0,0.0215
01609,2204.0,0.0518,0.0608,1.186,23645.0,0.0191
01610,2109.0,0.0422,0.0472,0.648,20622.0,0.0324
01611,1593.0,0.0247,0.0371,0.611,12968.0,0.0087
01612,1723.0,0.0373,0.0413,0.545,18154.0,0.0181
01701,1691.0,0.0462,0.0723,0.471,15750.0,0.0083
01702,1737.0,0.0438,0.058,0.518,17414.0,0.0124
01719,1945.0,0.0425,0.0503,0.437,14459.0,0.0055
01720,1963.0,0.043,0.0687,0.533,14771.0,0.0093
01721,1754.0,0.0379,0.0487,0.58,21229.0,0.0105
01730,1949.0,0.0379,0.0548,0.263,12674.0,0.0099
01740,2391.0,0.0367,0.0465,0.468,16416.0,0.009
01741,3178.0,0.0453,0.0854,0.251,10271.0,0.0044
01742,3047.0,0.046,0.0648,1.186,35705.0,0.0074
01745,1891.0,0.0519,0.0879,0.602,10700.0,0.0102
01746,1879.0,0.0436,0.0641,0.531,21219.0,0.0077
01747,1741.0,0.0367,0.0447,0.347,12221.0,0.0083
01748,2272.0,0.0427,0.0519,0.361,15311.0,0.0112
01749,1563.0,0.0329,0.0445,0.422,16280.0,0.0084
01752,1680.0,0.0376,0.052,0.481,14873.0,0.0152
01754,1536.0,0.0326,0.0505,0.412,13706.0,0.0074
01756,1888.0,0.0389,0.0481,0.465,11559.0,0.0027
01757,1623.0,0.0402,0.0501,0.395,14454.0,0.0099
01760,1919.0,0.0422,0.0561,0.354,14171.0,0.0091
01770,3063.0,0.0609,0.0852,0.878,25006.0,0.0056
01772,2344.0,0.0446,0.0729,0.326,18967.0,0.0113
01773,3551.0,0.0524,0.0745,0.501,30300.0,0.0124
01775,1890.0,0.0387,0.0508,0.502,15682.0,0.0085
01776,2576.0,0.0524,0.0879,0.479,17951.0,0.0083
01778,2505.0,0.0518,0.0715,0.493,18818.0,0.0058
01801,1624.0,0.0341,0.0473,0.354,15372.0,0.0096
01803,1672.0,0.0382,0.0602,0.473,18289.0,0.0093
01810,2344.0,0.0467,0.0789,0.461,19752.0,0.0071
01821,1571.0,0.0376,0.0566,0.403,15000.0,0.0074
01824,1578.0,0.036,0.0566,0.331,12226.0,0.0092
01826,1491.0,0.0323,0.0471,0.358,13884.0,0.0086
01827,1994.0,0.0252,0.0383,0.391,19932.0,0.0137
01830,1705.0,0.0331,0.0446,0.378,18095.0,0.015
01832,1635.0,0.0316,0.0489,0.341,13179.0,0.0135
01833,1900.0,0.0425,0.0646,0.381,15219.0,0.009
01834,1799.0,0.0336,0.0593,0.337,14439.0,0.013
01835,1691.0,0.0353,0.0509,0.504,16917.0,0.0141
01840,1897.0,0.0296,0.0368,4.065,49575.0,0.0338
01841,1966.0,0.0377,0.0502,0.459,18488.0,0.0269
01843,1693.0,0.0399,0.0528,0.549,13750.0,0.015
01844,1613.0,0.0324,0.0475,0.407,17476.0,0.0136
01845,2070.0,0.0397,0.0623,0.412,16121.0,0.0084
01850,1641.0,0.0328,0.0513,0.503,19840.0,0.0184
01851,1634.0,0.0342,0.0461,0.364,16402.0,0.0171
01852,1708.0,0.0345,0.0502,0.367,18173.0,0.0103
